file,status,code_cells,executed_code_cells,error_outputs,output_chars,sha256,description
phase1-full-md-per-sample-dump.ipynb,complete,5,5,0,81981,3a3ec2d9393595ec51042f90adf1e7747261ceae2044cefe45fa782ac393c105,Phase 1 per-keypoint MD dump over the full population; one stochastic full run reports pooled MD 8.499344 and supports group-level diagnosis.
phase1-per-group-fid-dino-kd-bgc-subc-we.ipynb,complete,5,5,0,9068,3a42da01c2cce35e10a490c0691ab9bf6a1b432aea1239842098bf2510f0cda6,Phase 1 full-set diagnosis by edit type and difficulty for FID-family/BGC/SUBC/WRAP_E measurements.
phase1-rerun-md.ipynb,complete,6,6,0,79189,5c894497b86a6e866d73c0ec5087d1b978aacf15c306d91f78ff3f29b23af8c8,"Phase 1 corrected per-path MD grouping and second stochastic full run (pooled MD 8.545517), used to validate grouping and the MD noise floor."
real-hog-ip-pathway-study.ipynb,source_only_not_executed,12,0,0,0,4c6a783b4728e948c7d56698bbc83d82e3dacaee583b5bcb5d9cb350d0b2caef,"Cell 8 — IP-A (%%writefile on line 1, then the full module — this is ip_ff.py with the geometry builders):"
w1b-core-resume-shard1of3.ipynb,complete,7,7,0,34080,f8bff5f66285ef232fe33fcad173219c028c7ee50c66fab6330149e35786d842,"FreeFine — Wave 1B Core Resume — Shard 1/3 — v3
 Balanced continuation of the 336 missing guidance/combo/post core-metric cells

Attach:
1. the same original GeoBench inputs,
2. original Account-B-v3 output,
3. final Wave-0B output,
4. the saved output of the ORIGINAL partial Wave-1B run (`B_core_results.json`, `MISSING CORE 336`)."
w1b-core-resume-shard2of3.ipynb,complete,7,7,0,34085,3748351cf891454361d6ae95be30090d2c8dd9220dbf348eebb424747bd5d341,"FreeFine — Wave 1B Core Resume — Shard 2/3 — v3
 Balanced continuation of the 336 missing guidance/combo/post core-metric cells

Attach:
1. the same original GeoBench inputs,
2. original Account-B-v3 output,
3. final Wave-0B output,
4. the saved output of the ORIGINAL partial Wave-1B run (`B_core_results.json`, `MISSING CORE 336`)."
w1b-core-resume-shard3of3.ipynb,complete,7,7,0,34096,dd6ff0f407bf1eb3890b8322c9149cb450383a1d8ceb20f0211777d64f3e5618,"FreeFine — Wave 1B Core Resume — Shard 3/3 — v3
 Balanced continuation of the 336 missing guidance/combo/post core-metric cells

Attach:
1. the same original GeoBench inputs,
2. original Account-B-v3 output,
3. final Wave-0B output,
4. the saved output of the ORIGINAL partial Wave-1B run (`B_core_results.json`, `MISSING CORE 336`)."
w2a-main-structural-shard1of2-t4x2-v2.ipynb,complete,7,7,0,17169,1c115b679ef5fa71949ba44581bfc4cc97ecdc52d23875e4605b9ed977608dad,"FreeFine — Wave 2 A Main Structural — Shard 1/2 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2a-main-structural-shard2of2-t4x2-v2.ipynb,complete,7,7,0,17274,f426e37374bef69f08ccb19d39a24076521fbe52b27b1cf2fe7ee941cd16950b,"FreeFine — Wave 2 A Main Structural — Shard 2/2 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2b-main-guidancepost-shard1of2-t4x2-v2.ipynb,complete,7,7,0,22483,b53a9696c5b2503106bda35ab779aa6d5f49c9835f7b0752df37e2cdf9325f6d,"FreeFine — Wave 2 B Main Guidance/Post — Shard 1/2 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2b-main-guidancepost-shard2of2-t4x2-v2.ipynb,complete,7,7,0,22523,bde21c63a08289cbeb7214e6cf9b216fcd6906efa7b7b720d8f99fb5404206d7,"FreeFine — Wave 2 B Main Guidance/Post — Shard 2/2 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2c-difficulty-structural-shard1of3-t4x2-v2.ipynb,complete,7,7,0,27908,209312d7b7499e174d13b1c631ceeabe5ea12d5fff937a4f799c2dd13b80be83,"FreeFine — Wave 2 C Difficulty Structural — Shard 1/3 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2c-difficulty-structural-shard2of3-t4x2-v2.ipynb,complete,7,7,0,28255,ef05c0f378f75b7ef8628586e221ec9cce3d438971da9695ae6395a573fd3f0f,"FreeFine — Wave 2 C Difficulty Structural — Shard 2/3 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2c-difficulty-structural-shard3of3-t4x2-v2.ipynb,complete,7,7,0,28280,d6a28a8d4ddb816184db5919ee3cc949c58dc698f55a0992523376cded692aae,"FreeFine — Wave 2 C Difficulty Structural — Shard 3/3 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2d-difficulty-guidancepost-shard1of4-t4x2-v2.ipynb,complete,7,7,0,32470,ccf2069e1bbf2865772c1a81752cc2e0f7bad8b251b4489a7f7472d55723b5f5,"FreeFine — Wave 2 D Difficulty Guidance/Post — Shard 1/4 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2d-difficulty-guidancepost-shard2of4-t4x2-v2.ipynb,complete,7,7,0,32489,2a1d8598ad8794da65dfe56368470e618a554b38830db9001e7666fd3a3aa177,"FreeFine — Wave 2 D Difficulty Guidance/Post — Shard 2/4 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2d-difficulty-guidancepost-shard3of4-t4x2-v2.ipynb,complete,7,7,0,32780,6a5e5175f9a6cb83aebce696459517bf36dfc38f46f31106e8fa0fa2961c5e3c,"FreeFine — Wave 2 D Difficulty Guidance/Post — Shard 3/4 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
w2d-difficulty-guidancepost-shard4of4-t4x2-v2.ipynb,complete,7,7,0,32785,9ea9533eac824bf6ba5388a748512a075619b10349a47864c6920e6d8648b0da,"FreeFine — Wave 2 D Difficulty Guidance/Post — Shard 4/4 — v2
 Resumable FID / FDD(DINO) / KD evaluation

This shard evaluates a deterministic sample-count-balanced partition.
If it ever hits the Kaggle session deadline, Save Version, attach its own saved output, and rerun this SAME notebook.

Use T4×2."
wave-1a-core-resume-v2.ipynb,complete,7,7,0,40764,831a306a88d725dc664a59fb243c026ff1165ab85bdc7b192e3550c7b337385d,"FreeFine — Wave 1A Core Resume v2
 Continue ONLY the 142 structural core-metric cells left by the first Wave-1A run
Attach: original GeoBench inputs, original Account-A-v3 output, final Wave-0A resume output, and the saved output of the partial Wave-1A run containing `A_core_results.json`.
Run on T4×2."
wave-1a-structural.ipynb,partial_then_completed_by_resume,7,7,0,46106,0e5b114ca6f75d7d9561e5339130d5635478ccdbe63d0ba6dea30d8a9abce686,"FreeFine — Wave 1A — Exhaustive Core Metrics — Structural Family
BGC, SUBC, WRAP_E, MD for every structural model across 20 task/difficulty groups."
wave-1b-guidance-combo-post(1).ipynb,duplicate_of_wave-1b-guidance-combo-post.ipynb,7,7,0,47913,a87223126bd6f5d076ebbce8688d3ad4153534c39f1af00440b5b3f9ec836935,"FreeFine — Wave 1B — Exhaustive Core Metrics — Guidance/Combo/Post Family
BGC, SUBC, WRAP_E, MD across 20 task/difficulty groups."
wave-1b-guidance-combo-post.ipynb,partial_then_completed_by_sharded_resume,7,7,0,47913,a87223126bd6f5d076ebbce8688d3ad4153534c39f1af00440b5b3f9ec836935,"FreeFine — Wave 1B — Exhaustive Core Metrics — Guidance/Combo/Post Family
BGC, SUBC, WRAP_E, MD across 20 task/difficulty groups."
