account,filename,bytes,sha256,classification,repository_target
B,experiments-phase-b4.ipynb,74587,05df52fd1df22919f4a9dfb5cf8e6ad4c7a73eb576b1989ca66bdc056599d6e4,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/experiments-phase-b4.ipynb
B,experiments-phase.ipynb,52684,8683ba8d40b61ff8a3f316e649dad7993b3f1651fc8882e1c34c94a83aac0952,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/experiments-phase.ipynb
B,freefine-account-b2-v3-apg-parameterization-m.ipynb,79953,c20df012c7b20f3a351e4434d0c1223dccef13707cabf83692358e05013c1bfb,recovered_add_to_repo,notebooks/01_discovery_and_pathway_studies/freefine-account-b2-v3-apg-parameterization-m.ipynb
B,freefine-final-exhaustive-run-account-b-guidan.ipynb,86379,2b41581d865a1e1d56f943dd0d002134be78e940e0152bcd1abd17eee6084528,recovered_add_to_repo,notebooks/02_structural_spectral_and_guidance_search/freefine-final-exhaustive-run-account-b-guidan.ipynb
B,freefine-phase2run.ipynb,47244,fbba1336afc3930c75dbd934959b0a4caa338bb1b4fa770d598aceef7456826f,duplicate_of_A:freefine-phase2run.ipynb,archive/noncanonical/freefine-phase2run.ipynb
B,guidance-discovery.ipynb,64791,ccb5ae544c1e9c11b6c70450ddfcefdcfcac155adc678964d641430bdd31a92c,already_represented_in_repo,notebooks/01_discovery_and_pathway_studies/guidance-discovery.ipynb
B,notebooka1e08a1c57.xpynb,0,,zero_byte_placeholder,
B,phase0-md-fid-dino-fid-kd.ipynb,258663,489b930be998af879e994b33b48336e69eb29622a9b499f37102c2c4c468a5fa,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/phase0-md-fid-dino-fid-kd.ipynb
B,phase1-full-md-per-sample-dump.ipynb,115729,3a3ec2d9393595ec51042f90adf1e7747261ceae2044cefe45fa782ac393c105,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/phase1-full-md-per-sample-dump.ipynb
B,phase1-rerun-md.ipynb,115783,5c894497b86a6e866d73c0ec5087d1b978aacf15c306d91f78ff3f29b23af8c8,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/phase1-rerun-md.ipynb
B,w2b-main-guidancepost-shard1of2-t4x2-v2.ipynb,52746,b53a9696c5b2503106bda35ab779aa6d5f49c9835f7b0752df37e2cdf9325f6d,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2b-main-guidancepost-shard1of2-t4x2-v2.ipynb
B,w2b-main-guidancepost-shard2of2-t4x2-v2.ipynb,52786,bde21c63a08289cbeb7214e6cf9b216fcd6906efa7b7b720d8f99fb5404206d7,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2b-main-guidancepost-shard2of2-t4x2-v2.ipynb
B,w2b-merge-no-gpu-v3.xpynb,0,,zero_byte_placeholder,
B,w2c-difficulty-structural-shard3of3-t4x2-v2.ipynb,54393,d6a28a8d4ddb816184db5919ee3cc949c58dc698f55a0992523376cded692aae,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2c-difficulty-structural-shard3of3-t4x2-v2.ipynb
C,01-full5677-generation-shard2of4-t4x2-v1.ipynb,57739,3cbd31a70d51993c746a3b8f3920c081d6eabdb14f8c67346a63c54214fcc933,already_represented_in_repo,notebooks/06_final_full5677_generation/01-full5677-generation-shard2of4-t4x2-v1.ipynb
C,06-full5677-metrics-sgr-epsrec-t4x2-v1.xpynb,0,,zero_byte_placeholder,
C,w1b-core-resume-shard3of3.ipynb,64283,dd6ff0f407bf1eb3890b8322c9149cb450383a1d8ceb20f0211777d64f3e5618,already_represented_in_repo,notebooks/03_exhaustive_core_metrics/w1b-core-resume-shard3of3.ipynb
C,w2c-difficulty-structural-shard1of3-t4x2-v2.ipynb,54018,209312d7b7499e174d13b1c631ceeabe5ea12d5fff937a4f799c2dd13b80be83,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2c-difficulty-structural-shard1of3-t4x2-v2.ipynb
C,w2d-difficulty-guidancepost-shard2of4-t4x2-v2.ipynb,63173,2a1d8598ad8794da65dfe56368470e618a554b38830db9001e7666fd3a3aa177,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2d-difficulty-guidancepost-shard2of4-t4x2-v2.ipynb
C,wave-1a-core-resume-v2.ipynb,65414,831a306a88d725dc664a59fb243c026ff1165ab85bdc7b192e3550c7b337385d,already_represented_in_repo,notebooks/03_exhaustive_core_metrics/wave-1a-core-resume-v2.ipynb
C,wave-1a-structural.ipynb,69367,0e5b114ca6f75d7d9561e5339130d5635478ccdbe63d0ba6dea30d8a9abce686,already_represented_in_repo,notebooks/03_exhaustive_core_metrics/wave-1a-structural.ipynb
C,wave-1b-three-shard-merge-v3.xpynb,0,,zero_byte_placeholder,
D,01-full5677-generation-shard3of4-t4x2-v1.ipynb,57741,8114c167c407e0f0c1abae2a2eb3907225ee6acb0ac5b53382c9eca6cdc0b1ad,already_represented_in_repo,notebooks/06_final_full5677_generation/01-full5677-generation-shard3of4-t4x2-v1.ipynb
D,07-full5677-metrics-sgr-midhf-epsrec-t4x2-v1.xpynb,0,,zero_byte_placeholder,
D,w1b-core-resume-shard1of3.ipynb,64269,f8bff5f66285ef232fe33fcad173219c028c7ee50c66fab6330149e35786d842,already_represented_in_repo,notebooks/03_exhaustive_core_metrics/w1b-core-resume-shard1of3.ipynb
D,w1b-core-resume-shard2of3.ipynb,64275,3748351cf891454361d6ae95be30090d2c8dd9220dbf348eebb424747bd5d341,already_represented_in_repo,notebooks/03_exhaustive_core_metrics/w1b-core-resume-shard2of3.ipynb
D,w2d-difficulty-guidancepost-shard1of4-t4x2-v2.ipynb,63146,ccf2069e1bbf2865772c1a81752cc2e0f7bad8b251b4489a7f7472d55723b5f5,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2d-difficulty-guidancepost-shard1of4-t4x2-v2.ipynb
D,w2d-difficulty-guidancepost-shard3of4-t4x2-v2.ipynb,63473,6a5e5175f9a6cb83aebce696459517bf36dfc38f46f31106e8fa0fa2961c5e3c,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2d-difficulty-guidancepost-shard3of4-t4x2-v2.ipynb
D,wave-1b-guidance-combo-post.ipynb,75373,a87223126bd6f5d076ebbce8688d3ad4153534c39f1af00440b5b3f9ec836935,already_represented_in_repo,notebooks/03_exhaustive_core_metrics/wave-1b-guidance-combo-post.ipynb
